OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,lat,lng,price
66341,7-ELEVEN #218,"I-44, EXIT 4",Harrold,TX,770,31.9686,-99.9018,2.69
71079,DK,SR-375,El Paso,TX,640,31.7619,-106.485,2.7
66705,7-ELEVEN,"I-44, EXIT 1/US-287",Wichita Falls,TX,770,33.9137,-98.4934,2.76
72775,CEFCO #2089,I-20 EXIT 288,Abilene,TX,575,32.4487,-99.7331,2.77
7310,AAA HOSPITALITY,"I-55, EXIT 220",Tillatoba,MS,435,32.3547,-89.3985,2.78
6180,Circle #4703923,"I-24, EXIT 180B & US-27",Chattanooga,TN,285,35.0456,-85.3097,2.79
68368,AKAL TRAVEL CENTER,I-80 EX 360,Waco,NE,413,41.4925,-99.9018,2.8
64058,DELTA TOWN TRUCK STOP,"I-10, EXIT 4",Vinton                                  ,LA,690,30.9843,-91.9623,2.8
66800,CIRCLE K #2743950,I-35,San Antonio,TX,740,29.4241,-98.4936,2.8
64558,MR FUEL #1203,"I-20, EXIT 129",Meridian,MS,705,32.3643,-88.7037,2.81
71929,STUCKEYS TRAVEL CENTER,I-10 & FM-365,Beaumont,TX,610,30.086,-94.1018,2.82
1163,SHORT STOP #13,US-54,Emporia,KS,553,39.0119,-98.4842,2.84
68875,SHEETZ #512,"I-40, EXIT 203 & SR-66",Kernersville,NC,65,35.7596,-79.0193,2.84
72816,QUIKTRIP #7914,I-27 EXIT 117,Amarillo,TX,585,35.222,-101.8313,2.85
71902,MURPHY EXPRESS #8928,FM-1472,Laredo,TX,693,27.5306,-99.4803,2.85
70696,DK #11822,I-20 EXIT 131,Midland,TX,612,31.9974,-102.0779,2.86
61210,SHEETZ #548,US-29,Greensboro,NC,65,36.0726,-79.792,2.86
52430,CHEVRON FOOD MART,"I-75, EXIT 350 & SR-2",Ringgold,GA,285,32.1656,-82.9001,2.86
68315,SHELL,"I-40, EXIT 200 & SR-99",Seminole,OK,483,35.5376,-96.9247,2.86
72773,RaceTrac #2626,I-20 Exit 472,Dallas,TX,630,32.7767,-96.797,2.86
72558,Circle K #4703975,SR-109 & US-70,Lebanon,TN,460,35.5175,-86.5804,2.87
63516,SHEETZ #701,"I-81, EXIT 273",Mount Jackson,VA,60,37.4316,-78.6569,2.87
71210,RACETRAC #2515,I-820 & BUS-287,Fort Worth,TX,630,32.7555,-97.3308,2.88
3383,E-Express at Central Truck Stop,"I-35, EXIT 137",Oklahoma City,OK,483,35.4676,-97.5164,2.88
69884,AKAL TRAVEL CENTER,"I-40, EXIT 267 & SR-379",Santa Rosa,NM,721,34.5199,-105.8701,2.88
72877,QUIKTRIP #7177,"I-10, EXIT 15A",Theodore,AL,715,32.8067,-86.7911,2.88
69137,CIRCLE K #2741564,"I-35/US-77, EXIT 338B",Waco                                    ,TX,765,31.5493,-97.1467,2.89
4233,QUIKTRIP #7220,"I-20, EXIT 8",Shreveport,LA,745,32.5252,-93.7502,2.89
67138,Kum N Go #0561,US-65 & SR-744,Springfield,MO,535,37.2153,-93.2982,2.9
7379,KEYSTOP TRAVEL CENTER,"I-65, EXIT 2 & US-31W",Franklin,KY,460,37.8393,-84.27,2.9
1560,CATTREZ,US-20 & SR-5,Irving,NY,38,42.1657,-74.9481,2.9
70458,STOP-A MINIT,US-25 & SR-418,Pelzer,SC,30,33.8361,-81.1637,2.9
64106,RAPID ROBERTS #122,SR-43,Joplin                                  ,MO,277,37.0842,-94.5133,2.9
72771,RACETRAC #2635,I-85 EXIT 44A,Greenville,SC,30,34.8526,-82.394,2.9
2231,QUIKTRIP #605,"I-270, EXIT 33",Saint Louis,MO,540,38.627,-90.1994,2.9
6307,QUIKTRIP #608,"I-70, MID RIVERS MALL",Saint Peters,MO,540,37.9643,-91.8318,2.9
70437,Thorntons #155,"SR-1020 N, & SR1065 E",Louisville,KY,415,38.2527,-85.7585,2.91
